City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Dzaoudzi,-12.7887,45.2699,78.8,83,0,0.58,YT,1621115480
Nikolskoye,59.7035,30.7861,57.0,88,40,4.47,RU,1621115480
Vardø,70.3705,31.1107,34.79,79,100,17.63,NO,1621115481
Butaritari,3.0707,172.7902,82.49,80,69,17.25,KI,1621115481
Yulara,-25.2406,130.9889,50.0,71,25,8.05,AU,1621115482
Pitimbu,-7.4706,-34.8086,77.0,88,20,6.91,BR,1621115482
Hilo,19.7297,-155.09,91.4,40,20,9.22,US,1621115482
Avarua,-21.2078,-159.775,80.6,74,40,12.66,CK,1621115483
Ţahţā,26.7693,31.5021,87.8,9,0,13.8,EG,1621115483
Hobart,-42.8794,147.3294,50.0,66,75,9.22,AU,1621115314
Cape Town,-33.9258,18.4232,57.99,88,20,12.66,ZA,1621115341
Lockport,41.5895,-88.0578,59.0,72,90,5.75,US,1621115484
Thompson,55.7435,-97.8558,41.0,65,75,4.61,CA,1621115484
Bandi̇̄pur,27.9333,84.4167,65.03,51,69,3.65,NP,1621115485
Tasiilaq,65.6145,-37.6368,30.2,74,12,3.44,GL,1621115485
Barrow,71.2906,-156.7887,26.6,80,90,10.36,US,1621115485
Karratha,-20.7377,116.8463,69.17,37,0,13.51,AU,1621115486
Manado,1.487,124.8455,75.2,94,20,1.14,ID,1621115486
Sitka,57.0531,-135.33,46.4,87,90,12.66,US,1621115487
Kismayo,-0.3582,42.5454,79.36,82,14,14.52,SO,1621115487
Nioro,13.35,-15.75,80.46,49,100,11.74,GM,1621115487
San Policarpo,12.1791,125.5072,81.77,83,97,10.04,PH,1621115488
Klaksvík,62.2266,-6.589,42.8,87,75,14.97,FO,1621115488
Carutapera,-1.195,-46.02,73.72,97,100,4.12,BR,1621115488
New Norfolk,-42.7826,147.0587,50.0,86,100,1.01,AU,1621115489
Lebu,-37.6167,-73.65,53.91,82,0,10.63,CL,1621115489
Oussouye,12.485,-16.5469,75.2,88,0,4.61,SN,1621115490
Hopelchén,19.7667,-89.85,87.8,62,75,13.8,MX,1621115490
Lata,40.1629,-8.3327,61.0,91,100,1.99,PT,1621115491
Āsmār,35.0333,71.3581,64.27,71,30,5.12,AF,1621115491
Téra,14.0078,0.7531,93.79,27,76,10.04,NE,1621115491
Airai,-8.9266,125.4092,56.03,84,78,3.74,TL,1621115492
Vaini,-21.2,-175.2,78.8,89,40,9.22,TO,1621115492
Rikitea,-23.1203,-134.9692,74.97,59,85,14.99,PF,1621115279
Esna,25.2934,32.554,86.0,17,0,4.61,EG,1621115493
Najrān,17.4924,44.1277,87.8,25,75,11.5,SA,1621115493
Beni,0.5,29.4667,61.63,98,60,2.39,CD,1621115493
Vestmannaeyjar,63.4427,-20.2734,41.27,61,45,5.99,IS,1621115494
Amapá,1.0,-52.0,72.5,98,100,2.73,BR,1621115494
Provideniya,64.3833,-173.3,44.42,52,29,1.72,RU,1621115495
Bengkulu,-3.8004,102.2655,75.9,90,74,4.27,ID,1621115495
Sucúa,-2.4667,-78.1667,69.8,94,90,4.61,EC,1621115495
Mahébourg,-20.4081,57.7,71.6,83,75,14.97,MU,1621115496
Castro,-24.7911,-50.0119,54.95,79,0,2.71,BR,1621115496
Bodden Town,19.2833,-81.25,87.8,74,20,12.66,KY,1621115496
Nanortalik,60.1432,-45.2371,37.24,78,25,4.45,GL,1621115497
Kieta,-6.2167,155.6333,83.28,77,96,4.41,PG,1621115497
Christchurch,-43.5333,172.6333,48.99,93,39,3.44,NZ,1621115493
Cacequi,-29.8836,-54.825,58.89,72,11,7.43,BR,1621115498
Vao,-22.6667,167.4833,76.24,82,58,10.54,NC,1621115498
Saldanha,-33.0117,17.9442,57.2,88,51,10.36,ZA,1621115498
Port Alfred,-33.5906,26.891,63.91,83,92,9.46,ZA,1621115499
Naze,28.3667,129.4833,75.2,100,75,14.97,JP,1621115499
Tygda,53.1167,126.3333,45.07,73,50,8.16,RU,1621115500
Cap Malheureux,-19.9842,57.6142,75.99,65,20,8.99,MU,1621115500
Palmer,42.1584,-72.3287,78.8,13,40,13.8,US,1621115220
Harper,4.375,-7.7169,80.2,81,100,6.35,LR,1621115501
Pasni,25.2631,63.471,83.44,70,6,10.04,PK,1621115501
Mar del Plata,-38.0023,-57.5575,64.0,63,0,4.61,AR,1621115501
Gorahun,7.4661,-11.2375,75.74,96,100,0.92,SL,1621115502
Praia,14.9215,-23.5087,71.6,83,75,21.85,CV,1621115502
Shache,38.4167,77.2406,56.89,37,2,7.14,CN,1621115503
São José da Coroa Grande,-8.8978,-35.1478,76.82,76,41,9.26,BR,1621115503
Bud,39.447,-86.1758,68.0,30,90,10.36,US,1621115503
Bambous Virieux,-20.3428,57.7575,75.99,83,75,14.97,MU,1621115504
Patancheru,17.5314,78.265,78.8,83,75,9.22,IN,1621115504
Puro,12.4841,123.3827,81.54,81,80,10.67,PH,1621115505
Pio IX,-6.8375,-40.5792,72.95,71,100,6.69,BR,1621115505
Hong Kong,22.2855,114.1577,84.0,83,40,1.99,HK,1621115458
Pangody,65.85,74.4859,29.77,63,95,8.63,RU,1621115506
Cam Ranh,11.9214,109.1591,78.8,83,20,3.44,VN,1621115506
San Patricio,28.017,-97.5169,81.0,78,90,19.57,US,1621115506
Saskylakh,71.9167,114.0833,10.49,93,100,8.23,RU,1621115507
Cherskiy,68.75,161.3,34.18,93,100,5.95,RU,1621115507
Pemangkat,1.1667,108.9667,78.35,86,96,3.8,ID,1621115507
Wad Rāwah,15.1603,33.1397,91.8,8,20,7.29,SD,1621115508
Saint-Leu,-21.15,55.2833,75.2,69,20,11.5,RE,1621115508
Codrington,-38.2667,141.9667,48.81,89,97,9.89,AU,1621115509
Mossamedes,-15.1961,12.1522,74.79,57,0,2.42,AO,1621115509
Ribeira Grande,38.5167,-28.7,64.54,95,84,14.0,PT,1621115509
Half Moon Bay,37.4636,-122.4286,64.99,87,90,8.05,US,1621115510
Mumford,5.2618,-0.759,81.19,84,89,10.49,GH,1621115510
Puerto Ayora,-0.7393,-90.3518,84.2,61,40,13.8,EC,1621115511
Balkhash,46.844,74.9804,60.89,43,2,8.41,KZ,1621115511
Floridablanca,7.0622,-73.0864,77.0,83,40,8.05,CO,1621115511
San Ramon,37.7799,-121.978,70.0,67,40,10.36,US,1621115331
Denpasar,-8.65,115.2167,80.6,83,20,12.66,ID,1621115350
Kloulklubed,7.0419,134.2556,77.0,94,75,4.61,PW,1621115512
Tuktoyaktuk,69.4541,-133.0374,35.6,80,40,12.66,CA,1621115512
Esim,4.8699,-2.2405,80.83,79,62,8.16,GH,1621115513
Bairiki Village,1.3292,172.9752,86.0,70,40,11.5,KI,1621115513
Tezu,27.9167,96.1667,68.32,69,80,3.83,IN,1621115513
Vila Velha,-20.3297,-40.2925,73.99,68,0,4.61,BR,1621115514
Beaver Dam,43.4578,-88.8373,57.0,94,90,10.36,US,1621115514
Chokurdakh,70.6333,147.9167,30.38,89,100,8.95,RU,1621115515
Aljezur,37.3191,-8.8033,60.64,93,36,9.22,PT,1621115515
Severo-Kuril'sk,50.6789,156.125,41.85,68,99,9.1,RU,1621115515
Udachny,66.4167,112.4,25.5,93,100,25.41,RU,1621115516
Shimoda,34.6667,138.95,68.0,81,100,5.28,JP,1621115516
Te Anau,-45.4167,167.7167,43.83,93,95,1.59,NZ,1621115516
Kaeo,-35.1,173.7833,57.99,98,56,4.32,NZ,1621115517
Carnarvon,-24.8667,113.6333,60.8,77,98,8.05,AU,1621115517
Kuching,1.55,110.3333,77.0,94,20,1.81,MY,1621115518
Bariri,-22.0744,-48.7403,75.2,60,0,3.44,BR,1621115518
Kishni,27.0247,79.2634,89.76,28,90,8.41,IN,1621115518
Esperance,-33.8667,121.9,50.0,87,89,10.36,AU,1621115519
Tete,-16.1564,33.5867,69.8,60,0,5.75,MZ,1621115519
Lüderitz,-26.6481,15.1594,62.01,90,20,3.8,NA,1621115519
Laas,46.6166,10.7002,59.0,100,75,2.8,IT,1621115520
Ancud,-41.8697,-73.8203,53.6,87,75,3.44,CL,1621115520
Ellensburg,46.9965,-120.5479,82.99,19,1,10.36,US,1621115520
Moerai,-22.4333,-151.3333,77.58,78,100,11.45,PF,1621115521
Lodwar,3.1191,35.5973,85.73,42,5,10.22,KE,1621115521
Khatanga,71.9667,102.5,10.98,96,78,6.64,RU,1621115522
Amurzet,47.6967,131.0981,56.7,52,58,11.1,RU,1621115522
Ţaga,46.95,24.05,52.0,93,0,3.44,RO,1621115522
Juneau,58.3019,-134.4197,50.0,81,90,14.97,US,1621115523
Nelson Bay,-32.7167,152.15,51.01,66,75,14.97,AU,1621115523
Santa Cruz de la Sierra,-17.8,-63.1667,75.2,57,20,5.57,BO,1621115524
Los Llanos de Aridane,28.6585,-17.9182,68.0,77,0,17.27,ES,1621115524
Souillac,-20.5167,57.5167,71.6,83,75,14.97,MU,1621115525
Tekirdağ,40.978,27.5085,59.0,94,75,4.61,TR,1621115334
Vanimo,-2.6741,141.3028,79.21,87,100,4.29,PG,1621115525
Barranca,-10.75,-77.7667,66.69,76,1,8.23,PE,1621115526
Ilulissat,69.2167,-51.1,35.6,75,20,8.05,GL,1621115526
Aswān,24.0934,32.907,83.8,7,0,11.74,EG,1621115526
Kungurtug,50.5994,97.5228,36.0,84,13,2.19,RU,1621115527
Władysławowo,54.7909,18.4009,53.01,100,0,3.44,PL,1621115527
Mehamn,71.0357,27.8492,37.4,75,75,16.11,NO,1621115527
Arraial do Cabo,-22.9661,-42.0278,71.6,73,0,3.44,BR,1621115528
Kruisfontein,-34.0033,24.7314,59.0,93,100,1.99,ZA,1621115237
Lavrentiya,65.5833,-171.0,32.97,88,21,5.64,RU,1621115528
Tadine,-21.55,167.8833,78.66,80,98,11.95,NC,1621115529
Villazón,-22.0866,-65.5942,55.29,17,0,5.03,BO,1621115529
Dikson,73.5069,80.5464,22.87,73,100,12.57,RU,1621115529
Petropavlovsk-Kamchatskiy,53.0452,158.6483,50.0,40,65,2.24,RU,1621115246
Mocuba,-16.8392,36.9856,67.14,89,11,3.94,MZ,1621115530
Wajima,37.4,136.9,60.93,93,100,8.84,JP,1621115530
Saint-Pierre,-21.3393,55.4781,75.2,69,20,11.5,RE,1621115531
George Town,5.4112,100.3354,82.0,94,20,3.44,MY,1621115478
Panama City,8.9936,-79.5197,87.8,58,40,12.66,PA,1621115354
Ponta Delgada,37.7333,-25.6667,64.4,94,40,9.22,PT,1621115390
Nome,64.5011,-165.4064,55.4,33,1,10.36,US,1621115324
Ngunguru,-35.6167,174.5,57.99,98,29,5.79,NZ,1621115532
Port Macquarie,-31.4333,152.9167,52.0,74,64,1.99,AU,1621115235
Mongu,-15.2484,23.1274,63.3,47,35,2.95,ZM,1621115532
Haines Junction,60.7522,-137.5108,48.2,61,100,5.75,CA,1621115533
Jumla,29.2747,82.1838,49.55,74,6,3.49,NP,1621115533
Tsimmerbude,54.675,20.1347,46.0,100,90,4.47,RU,1621115533
Nador,35.174,-2.9287,68.0,60,0,2.3,MA,1621115534
Bilma,18.6853,12.9164,92.7,7,0,6.4,NE,1621115534
Jamestown,42.097,-79.2353,64.4,27,75,8.05,US,1621115534
Road Town,18.4167,-64.6167,84.2,79,20,6.91,VG,1621115535
Poum,-20.2333,164.0167,78.04,77,82,11.43,NC,1621115535
Ponta do Sol,32.6667,-17.1,66.2,68,20,27.63,PT,1621115535
Dobryatino,55.5055,41.3195,55.87,95,9,6.51,RU,1621115536
Namatanai,-3.6667,152.4333,83.88,73,17,10.22,PG,1621115536
San Quintín,30.4833,-115.95,64.33,63,1,16.6,MX,1621115537
Kiama,-34.6833,150.8667,50.0,65,14,3.0,AU,1621115537
Pangnirtung,66.1451,-65.7125,21.99,89,95,2.57,CA,1621115537
Sabang,5.8933,95.3214,83.23,74,100,0.92,ID,1621115538
Ramsgate,51.3358,1.4155,52.0,83,91,3.0,GB,1621115538
Asău,46.4333,26.4,53.01,63,58,2.17,RO,1621115538
Saint-Joseph,-21.3667,55.6167,75.2,69,20,11.5,RE,1621115539
Mount Isa,-20.7333,139.5,59.0,33,0,13.8,AU,1621115539
Geraldton,-28.7667,114.6,64.4,48,5,16.11,AU,1621115540
Båtsfjord,70.6345,29.7185,33.69,88,100,15.95,NO,1621115540
Chegdomyn,51.1167,133.0167,43.32,91,100,8.59,RU,1621115540
Brae,60.3964,-1.353,46.4,100,90,3.44,GB,1621115541
Itarema,-2.9248,-39.9167,77.29,84,100,8.81,BR,1621115541
Hithadhoo,-0.6,73.0833,84.07,73,100,19.01,MV,1621115541
Lima,-12.0432,-77.0282,66.2,77,90,5.75,PE,1621115436
Balabac,7.9868,117.0645,82.18,79,92,7.9,PH,1621115542
Baykit,61.67,96.37,26.29,80,45,8.23,RU,1621115542
Sur,22.5667,59.5289,87.82,53,9,9.55,OM,1621115543
Gimli,50.6336,-96.9907,57.2,62,99,9.22,CA,1621115531
Resistencia,-27.4606,-58.9839,73.4,64,20,6.91,AR,1621115408
Katsuura,35.1333,140.3,68.0,78,85,13.2,JP,1621115243
Bathsheba,13.2167,-59.5167,82.4,61,40,21.85,BB,1621115544
Nortelândia,-14.4547,-56.8028,78.26,57,79,3.04,BR,1621115544
Pisco,-13.7,-76.2167,66.0,88,75,9.22,PE,1621115544
Tabou,4.423,-7.3528,79.95,80,100,5.95,CI,1621115545
Tuatapere,-46.1333,167.6833,41.0,94,40,3.0,NZ,1621115545
Iqaluit,63.7506,-68.5145,24.8,68,20,14.97,CA,1621115545
Xique-Xique,-10.8218,-42.7263,79.32,54,99,8.99,BR,1621115546
Malartic,48.1335,-78.1328,57.2,72,75,8.05,CA,1621115546
Kaitangata,-46.2817,169.8464,48.0,75,83,5.64,NZ,1621115547
Lethem,3.3803,-59.7968,80.76,75,63,10.18,GY,1621115547
Beloha,-25.1667,45.05,70.72,59,29,4.45,MG,1621115547
Cidreira,-30.1811,-50.2056,61.88,77,1,6.24,BR,1621115548
Ylivieska,64.0833,24.55,55.0,83,96,4.0,FI,1621115548
Ojinaga,29.5667,-104.4167,93.2,22,40,11.5,MX,1621115548
Cayenne,4.9333,-52.3333,79.0,94,90,3.44,GF,1621115549
Diré,12.2833,-10.9667,93.51,29,99,2.04,ML,1621115549
Barcelona,41.3888,2.159,66.99,88,20,3.44,ES,1621115374
Qaqortoq,60.7167,-46.0333,51.8,22,11,9.22,GL,1621115550
Dinguiraye,11.3,-10.7167,77.54,64,97,6.44,GN,1621115550
Makakilo City,21.3469,-158.0858,82.4,51,1,10.36,US,1621115420
Tamworth,52.634,-1.6959,48.99,90,88,1.01,GB,1621115551
Gizo Government Station,-8.103,156.8419,84.31,72,20,5.37,SB,1621115551
San Cristobal,7.7669,-72.225,89.6,58,20,11.5,VE,1621115551
Homer,59.6425,-151.5483,46.4,87,90,10.36,US,1621115552
Fairbanks,64.8378,-147.7164,63.0,31,1,9.22,US,1621115552
Mezen',65.8522,44.24,40.48,93,43,5.93,RU,1621115552
Mangan,27.5167,88.5333,66.72,75,75,4.81,IN,1621115553
Saint-Augustin,51.226,-58.6502,44.4,68,99,12.62,CA,1621115553
Huarmey,-10.0681,-78.1522,68.83,75,3,8.99,PE,1621115554
Pindushi,62.9152,34.58,51.22,78,96,10.36,RU,1621115554
Hamilton,39.1834,-84.5333,73.4,23,1,6.91,US,1621115554
Vadsø,70.0744,29.7487,33.8,86,90,6.91,NO,1621115555
Tambopata,-12.7333,-69.1833,78.22,72,60,1.77,PE,1621115555
Hofn,64.2539,-15.2082,38.16,58,100,18.57,IS,1621115556
Puerto Escondido,15.85,-97.0667,89.6,70,40,11.5,MX,1621115556
Palana,59.1167,159.9667,34.18,86,97,7.38,RU,1621115556
Antofagasta,-23.65,-70.4,60.8,82,75,12.66,CL,1621115557
Weligama,5.9667,80.4167,80.08,86,100,9.95,LK,1621115557
Goundi,9.3627,17.366,84.02,54,96,9.15,TD,1621115557
Inongo,-1.95,18.2667,75.31,76,41,3.31,CD,1621115558
Aklavik,68.2191,-135.0107,46.4,57,40,12.66,CA,1621115519
High Level,58.5169,-117.136,59.0,41,75,9.22,CA,1621115558
Stornoway,58.2093,-6.3865,46.4,81,75,4.61,GB,1621115559
Griffith,41.5284,-87.4237,59.0,63,90,5.75,US,1621115559
Santa Fe,-31.6333,-60.7,64.0,55,38,3.96,AR,1621115559
Faya,18.3851,42.4509,69.8,56,0,5.01,SA,1621115560
Urengoy,65.9667,78.3667,25.29,66,42,5.55,RU,1621115560
Liverpool,53.4106,-2.9779,53.6,87,75,1.14,GB,1621115459
Srednekolymsk,67.45,153.6833,33.94,85,6,9.08,RU,1621115561
Matara,5.9485,80.5353,79.32,87,100,9.19,LK,1621115561
Chui,-33.6971,-53.4616,54.34,72,100,3.58,UY,1621115562
Bago,17.3367,96.4797,80.6,83,20,3.44,MM,1621115333
Medvedok,57.3891,50.0351,62.33,73,9,5.73,RU,1621115562
Mastic Beach,40.7668,-72.8521,71.6,28,1,10.36,US,1621115562
Wamba,8.9333,8.6,76.1,83,100,1.21,NG,1621115563
Bilibino,68.0546,166.4372,32.11,85,100,1.95,RU,1621115563
Smithers,54.7804,-127.1743,57.2,54,90,2.3,CA,1621115403
Nova Olímpia,-14.7972,-57.2881,77.61,59,68,1.95,BR,1621115564
Arak,34.0917,49.6892,57.38,67,99,4.05,IR,1621115564
San Joaquin,37.9333,-121.3011,73.99,46,1,4.61,US,1621115565
Sørland,67.667,12.6934,43.7,88,100,16.82,NO,1621115565
Contai,21.7786,87.7536,83.52,85,43,13.42,IN,1621115565
Nhulunbuy,-12.2333,136.7667,77.0,57,53,9.22,AU,1621115566
Bandarbeyla,9.4942,50.8122,86.02,67,9,20.0,SO,1621115566
Moose Factory,51.2585,-80.6094,33.8,93,90,5.75,CA,1621115566
Mount Gambier,-37.8333,140.7667,46.4,100,75,8.05,AU,1621115567
Talnakh,69.4865,88.3972,12.63,96,97,3.04,RU,1621115567
Oranjemund,-28.55,16.4333,60.44,97,31,8.95,NA,1621115568
Tutóia,-2.7619,-42.2744,76.93,83,100,0.85,BR,1621115568
Ust'-Koksa,50.2696,85.6108,44.82,78,2,1.81,RU,1621115568
Viedma,-40.8135,-62.9967,54.27,76,74,7.36,AR,1621115569
Tieling,42.2931,123.8414,52.52,52,94,5.17,CN,1621115569
Agirish,61.9247,63.0231,53.53,94,90,6.91,RU,1621115569
Pangoa,-12.1167,-73.0,73.44,83,90,1.19,PE,1621115570
Vzmorye,54.6961,20.2361,46.0,100,90,4.47,RU,1621115570
Pagudpud,18.5616,120.7868,80.6,89,20,2.3,PH,1621115570
Lorengau,-2.0226,147.2712,84.38,76,100,9.57,PG,1621115571
Calbuco,-41.768,-73.1273,53.6,82,75,5.75,CL,1621115571
Jurbarkas,55.0778,22.7664,46.45,95,42,4.18,LT,1621115572
Gravdal,68.1214,13.5031,44.53,83,100,11.21,NO,1621115572
Broome,42.2506,-75.833,68.0,30,75,8.05,US,1621115533
Bubaque,11.2833,-15.8333,77.67,83,25,15.79,GW,1621115573
San Juan,-31.5375,-68.5364,37.0,33,66,34.0,AR,1621115440
Hirara,24.8,125.2833,78.8,94,40,10.36,JP,1621115573
Marzuq,14.4,46.4667,81.73,35,6,4.94,YE,1621115574
Calceta,-0.85,-80.1667,77.0,83,75,11.5,EC,1621115530
Varhaug,58.6147,5.6457,46.0,98,100,5.23,NO,1621115574
Arrondissement de Saint-Denis,48.9167,2.3333,55.4,76,90,9.22,FR,1621115575
Senanga,-16.1167,23.2667,61.92,43,30,2.62,ZM,1621115575
Savannah Bight,16.45,-85.85,87.8,66,40,10.36,HN,1621115576
Clyde River,70.4692,-68.5914,21.2,58,1,3.44,CA,1621115499
Santa Catarina de Tepehuanes,25.35,-105.7333,82.35,19,61,24.83,MX,1621115576
Cairns,-16.9167,145.7667,71.6,73,1,9.22,AU,1621115418
Ambilobe,-13.2,49.05,70.88,79,1,4.56,MG,1621115577
Mbour,14.422,-16.9638,73.4,73,88,13.8,SN,1621115577
Quatre Cocos,-20.2078,57.7625,75.99,83,75,14.97,MU,1621115577
Anori,-3.7728,-61.6442,76.1,94,87,1.95,BR,1621115578
Meiningen,50.5679,10.4152,48.0,91,88,7.34,DE,1621115578
Saint George,37.1041,-113.5841,91.99,7,1,23.02,US,1621115578
Faanui,-16.4833,-151.75,80.83,74,100,17.27,PF,1621115579
Longyearbyen,78.2186,15.6401,21.2,63,40,9.22,SJ,1621115579
Catuday,16.2923,119.8062,81.59,73,62,8.12,PH,1621115579
Arrondissement du Havre,49.5833,0.3333,51.8,87,75,11.5,FR,1621115580
Tombouctou,20.0,-3.0,93.85,10,3,11.7,ML,1621115580
Plácido de Castro,-10.3353,-67.1856,80.64,65,88,2.06,BR,1621115581
Tongren,27.7172,109.1853,72.14,98,98,1.5,CN,1621115581
Mahon,39.8885,4.2658,62.6,88,0,9.22,ES,1621115582
Lagoa,39.05,-27.9833,62.92,94,85,15.05,PT,1621115582
Paso de Carrasco,-34.8603,-56.0522,59.0,77,0,4.61,UY,1621115582
Olonets,60.9847,32.9698,54.18,94,100,5.17,RU,1621115583
Maragogi,-9.0122,-35.2225,76.64,76,59,8.59,BR,1621115583
Porto-Novo,6.4965,2.6036,78.8,83,40,6.91,BJ,1621115583
Williston,48.147,-103.618,77.0,25,43,3.0,US,1621115208
Dunedin,-45.8742,170.5036,51.01,75,90,8.99,NZ,1621115524
Mercedes,-34.6515,-59.4307,57.99,72,94,4.65,AR,1621115584
Ambanja,-13.6833,48.45,72.57,81,33,4.52,MG,1621115584
Bamiantong,44.9333,130.5333,50.61,66,26,5.23,CN,1621115585
Omboué,-1.5746,9.2618,78.24,89,58,6.22,GA,1621115585
Bloomington,44.8408,-93.2983,73.99,37,75,8.05,US,1621115458
Katherine,-14.4667,132.2667,55.4,58,26,8.05,AU,1621115586
Mareeba,-17.0,145.4333,71.6,73,0,9.22,AU,1621115586
Lompoc,34.6391,-120.4579,60.8,59,21,11.5,US,1621115541
Kuusamo,65.9667,29.1833,37.4,100,90,8.05,FI,1621115587
Coari,-4.085,-63.1414,77.14,93,60,1.95,BR,1621115587
Esmeraldas,-19.7625,-44.3139,71.6,60,0,6.91,BR,1621115368
Kyabé,9.4515,18.9449,80.83,62,75,8.84,TD,1621115588
Nefteyugansk,61.0998,72.6035,44.6,81,0,6.71,RU,1621115588
Mweka,-4.85,21.5667,73.36,71,55,1.1,CD,1621115588
Abnūb,27.2696,31.1511,78.8,34,0,11.5,EG,1621115589
Chimbote,-9.0853,-78.5783,66.92,80,5,8.68,PE,1621115589
Hasaki,35.7333,140.8333,66.2,82,75,11.5,JP,1621115589
Arrondissement de Saint-Claude,46.5,5.8333,48.99,96,100,1.99,FR,1621115590
Damphu,27.0721,90.1096,60.57,82,76,4.74,BT,1621115590
Comarapa,-17.9,-64.4833,55.35,88,78,4.14,BO,1621115591
Olafsvik,64.8945,-23.7142,39.25,65,12,20.42,IS,1621115591
Abhā,18.2164,42.5053,69.8,56,0,5.55,SA,1621115591
Araouane,18.9048,-3.5265,94.15,9,24,10.87,ML,1621115592
Ahipara,-35.1667,173.1667,62.92,75,23,7.02,NZ,1621115592
Coswig,51.1333,13.5833,50.0,87,40,8.05,DE,1621115592
Terrace Bay,48.7834,-87.1,55.4,44,20,4.61,CA,1621115593
Ingham,42.6,-84.3833,68.0,26,75,8.05,US,1621115593
Laramie,41.3114,-105.5911,54.0,76,90,20.71,US,1621115594
Kokoda,-8.8785,147.7407,79.03,88,100,1.14,PG,1621115594
Mikhaylovka,50.06,43.2379,63.9,53,43,7.9,RU,1621115594
Maceió,-9.6658,-35.7353,78.8,78,20,4.61,BR,1621115565
Clarence Town,-32.5833,151.7833,51.01,66,75,14.97,AU,1621115595
Linxia Chengguanzhen,35.6003,103.2064,40.96,70,66,3.04,CN,1621115595
Shwebo,22.5667,95.7,82.67,47,41,3.94,MM,1621115428
Colquechaca,-18.6667,-66.0167,38.53,35,67,4.76,BO,1621115596
Wawa,9.9022,4.4192,77.31,80,100,7.67,NG,1621115596
Okha,53.5739,142.9478,40.51,94,100,15.99,RU,1621115597
Sistranda,63.7256,8.834,50.0,71,40,23.02,NO,1621115597
Ola,59.5833,151.2833,35.89,96,100,3.18,RU,1621115597
Galle,6.0367,80.217,81.82,82,100,11.9,LK,1621115561
Saint-François,46.4154,3.9054,51.8,87,0,5.75,FR,1621115598
Along,28.1667,94.7667,65.89,82,95,1.68,IN,1621115598
Skjervøy,70.0311,20.9714,39.51,76,88,15.93,NO,1621115599
